UniprotID	Q5JU85-3
Accession	Q5JU85;A0A1W2PQN3;B3KT97;C7SDG1;O60275;Q5JUX1
EntryName	IQEC2_HUMAN
ProteinName	IQ motif and SEC7 domain-containing protein 2
GeneName	IQSEC2 KIAA0522
Length	949
Function	Is a guanine nucleotide exchange factor for the ARF GTP-binding proteins.
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.13906379
pNuLoCRegion	70...88
