UniprotID	Q9HC10-3
Accession	Q9HC10;B4DJX0;B5MCC1;B9A0H6;Q53R90;Q9HC08;Q9HC09;Q9Y650
EntryName	OTOF_HUMAN
ProteinName	Otoferlin (Fer-1-like protein 2)
GeneName	OTOF FER1L2
Length	1307
Function	Key calcium ion sensor involved in the Ca(2+)-triggered synaptic vesicle-plasma membrane fusion and in the control of neurotransmitter release at these output synapses. Interacts in a calcium-dependent manner to the presynaptic SNARE proteins at ribbon synapses of cochlear inner hair cells (IHCs) to trigger exocytosis of neurotransmitter. Also essential to synaptic exocytosis in immature outer hair cells (OHCs). May also play a role within the recycling of endosomes (By similarity).
Subcellular Location	Cytoplasmic vesicle; Secretory vesicle; Synaptic vesicle membrane; Basolateral cell membrane; Endoplasmic reticulum membrane; Golgi apparatus membrane; Presynaptic cell membrane; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.31631967
pNuLoCRegion	165...169
