UniprotID	Q5TB80-2
Accession	Q5TB80;A6PVL7;A6PVL8;Q6P475;Q9Y2L2
EntryName	CE162_HUMAN
ProteinName	Centrosomal protein of 162 kDa (Cep162) (Protein QN1 homolog)
GeneName	CEP162 C6orf84 KIAA1009 QN1
Length	1327
Function	Required to promote assembly of the transition zone in primary cilia. Acts by specifically recognizing and binding the axonemal microtubule. Localizes to the distal ends of centrioles before ciliogenesis and directly binds to axonemal microtubule, thereby promoting and restricting transition zone formation specifically at the cilia base. Required to mediate CEP290 association with microtubules.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Cytoplasm; Cytoskeleton; Spindle; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8048408
pNuLoCRegion	30...34;105...105
