UniprotID	Q86WA8-2
Accession	Q86WA8;B7ZKL7;Q0D2H6;Q8N3B9;Q8NCE9;Q96K43
EntryName	LONP2_HUMAN
ProteinName	Lon protease homolog 2, peroxisomal (EC 3.4.21.53) (Lon protease-like protein 2) (Lon protease 2) (Peroxisomal Lon protease) (pLon)
GeneName	LONP2 LONP
Length	808
Function	ATP-dependent serine protease that mediates the selective degradation of misfolded and unassembled polypeptides in the peroxisomal matrix. Necessary for type 2 peroxisome targeting signal (PTS2)-containing protein processing and facilitates peroxisome matrix protein import (By similarity). May indirectly regulate peroxisomal fatty acid beta-oxidation through degradation of the self-processed forms of TYSND1.
Subcellular Location	Peroxisome matrix
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.16292924
pNuLoCRegion	221...226
