UniprotID	Q8TEW0-3
Accession	Q8TEW0;F5H5T0;Q5T2U1;Q5VUA2;Q5VUA3;Q5VWV0;Q5VWV1;Q5VWV3;Q5VWV4;Q5VWV5;Q6IQ47;Q8TCZ9;Q8TEW1;Q8TEW2;Q8TEW3;Q96K28;Q96RM6;Q96RM7;Q9BY57;Q9BY58;Q9HC48;Q9NWL4;Q9NYE6
EntryName	PARD3_HUMAN
ProteinName	Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha)
GeneName	PARD3 PAR3 PAR3A
Length	1266
Function	Adapter protein involved in asymmetrical cell division and cell polarization processes (PubMed:10954424, PubMed:27925688). Seems to play a central role in the formation of epithelial tight junctions (PubMed:27925688). Targets the phosphatase PTEN to cell junctions (By similarity). Involved in Schwann cell peripheral myelination (By similarity). Association with PARD6B may prevent the interaction of PARD3 with F11R/JAM1, thereby preventing tight junction assembly (By similarity). The PARD6-PARD3 complex links GTP-bound Rho small GTPases to atypical protein kinase C proteins (PubMed:10934474). Required for establishment of neuronal polarity and normal axon formation in cultured hippocampal neurons (PubMed:19812038, PubMed:27925688).
Subcellular Location	Cytoplasm; Endomembrane system; Cell junction; Cell junction; Tight junction; Cell junction; Adherens junction; Cell membrane; Cytoplasm; Cell cortex; Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.23715137
pNuLoCRegion	
