UniprotID	Q8N5R6-6
Accession	Q8N5R6;A8K3U4;A8MPQ6;A8MV61;A8MVU9;B3KQ49;Q8TAX6;Q9H5Q6
EntryName	CCD33_HUMAN
ProteinName	Coiled-coil domain-containing protein 33 (Cancer/testis antigen 61) (CT61)
GeneName	CCDC33
Length	755
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.5144703
pNuLoCRegion	10...13;140...146
