UniprotID	Q63HR2-2
Accession	Q63HR2;A2VDF2;A2VDF3;A2VDI8;A5PKY4;Q2NL80;Q76MW6;Q7Z5T9;Q8NFF9;Q8NFG0;Q96P25;Q9NT29;Q9UPS7
EntryName	TENS2_HUMAN
ProteinName	Tensin-2 (EC 3.1.3.48) (C1 domain-containing phosphatase and tensin homolog) (C1-TEN) (Tensin-like C1 domain-containing phosphatase)
GeneName	TNS2 KIAA1075 TENC1
Length	1312
Function	Tyrosine-protein phosphatase which regulates cell motility, proliferation and muscle-response to insulin (PubMed:15817639, PubMed:23401856). Phosphatase activity is mediated by binding to phosphatidylinositol-3,4,5-triphosphate (PtdIns(3,4,5)P3) via the SH2 domain (PubMed:30092354). In muscles and under catabolic conditions, dephosphorylates IRS1 leading to its degradation and muscle atrophy (PubMed:23401856, PubMed:30092354). Negatively regulates PI3K-AKT pathway activation (PubMed:15817639, PubMed:23401856, PubMed:30092354). Dephosphorylates nephrin NPHS1 in podocytes which regulates activity of the mTORC1 complex (PubMed:28955049). Under normal glucose conditions, NPHS1 outcompetes IRS1 for binding to phosphatidylinositol 3-kinase (PI3K) which balances mTORC1 activity but high glucose conditions lead to up-regulation of TNS2, increased NPHS1 dephosphorylation and activation of mTORC1, contributing to podocyte hypertrophy and proteinuria (PubMed:28955049). Required for correct podocyte morphology, podocyte-glomerular basement membrane interaction and integrity of the glomerular filtration barrier (By similarity). Enhances RHOA activation in the presence of DLC1 (PubMed:26427649). Plays a role in promoting DLC1-dependent remodeling of the extracellular matrix (PubMed:20069572).
Subcellular Location	Cell junction; Focal adhesion; Cell membrane; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.2789274
pNuLoCRegion	23...40;318...322;335...358
