UniprotID	Q9UPM8-2
Accession	Q9UPM8;A0AVD6;A1L4A9;A6NNX7;H0YKX4;Q68D31;Q9Y588
EntryName	AP4E1_HUMAN
ProteinName	AP-4 complex subunit epsilon-1 (AP-4 adaptor complex subunit epsilon) (Adaptor-related protein complex 4 subunit epsilon-1) (Epsilon subunit of AP-4) (Epsilon-adaptin)
GeneName	AP4E1
Length	1062
Function	Component of the adaptor protein complex 4 (AP-4). Adaptor protein complexes are vesicle coat components involved both in vesicle formation and cargo selection. They control the vesicular transport of proteins in different trafficking pathways (PubMed:10066790, PubMed:10436028). AP-4 forms a non clathrin-associated coat on vesicles departing the trans-Golgi network (TGN) and may be involved in the targeting of proteins from the trans-Golgi network (TGN) to the endosomal-lysosomal system. It is also involved in protein sorting to the basolateral membrane in epithelial cells and the proper asymmetric localization of somatodendritic proteins in neurons. AP-4 is involved in the recognition and binding of tyrosine-based sorting signals found in the cytoplasmic part of cargos, but may also recognize other types of sorting signal (Probable).
Subcellular Location	Golgi apparatus; trans-Golgi network membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.44633424
pNuLoCRegion	11...33
