UniprotID	Q9H9E3-3
Accession	Q9H9E3;B4DMN8;C9JS23;Q96D40;Q9BRF0;Q9BVZ2;Q9H5Y4;Q9Y3W3
EntryName	COG4_HUMAN
ProteinName	Conserved oligomeric Golgi complex subunit 4 (COG complex subunit 4) (Component of oligomeric Golgi complex 4)
GeneName	COG4
Length	712
Function	Required for normal Golgi function (PubMed:19536132, PubMed:30290151). Plays a role in SNARE-pin assembly and Golgi-to-ER retrograde transport via its interaction with SCFD1 (PubMed:19536132).
Subcellular Location	Cytoplasm; Cytosol; Golgi apparatus membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.30957937
pNuLoCRegion	
