UniprotID	Q5HYK7-2
Accession	Q5HYK7;B7Z296;Q08EK1;Q32N10;Q5U3B8;Q86XB3;Q8N5E7;Q9UFC8
EntryName	SH319_HUMAN
ProteinName	SH3 domain-containing protein 19 (ADAM-binding protein Eve-1) (EEN-binding protein) (EBP)
GeneName	SH3D19
Length	767
Function	May play a role in regulating A disintegrin and metalloproteases (ADAMs) in the signaling of EGFR-ligand shedding. May be involved in suppression of Ras-induced cellular transformation and Ras-mediated activation of ELK1. Plays a role in the regulation of cell morphology and cytoskeletal organization.
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.17150833
pNuLoCRegion	
