UniprotID	Q96DN5-2
Accession	Q96DN5;B7ZL19;Q2M2J9;Q3MIR6;Q8TBP9
EntryName	TBC31_HUMAN
ProteinName	TBC1 domain family member 31 (WD repeat-containing protein 67)
GeneName	TBC1D31 WDR67
Length	1001
Function	Molecular adapter which is involved in cilium biogenesis. Part of a functional complex including OFD1 a centriolar protein involved in cilium assembly. Could regulate the cAMP-dependent phosphorylation of OFD1, and its subsequent ubiquitination by PJA2 which ultimately leads to its proteasomal degradation.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriolar satellite; Cytoplasm; Cytoskeleton; Cilium basal body
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8980155
pNuLoCRegion	9...9;151...170
