UniprotID	Q5FWF4-3
Accession	Q5FWF4;B3KYA1;B4E375;B5MDI3;D3DP76;E9PBP0;Q53SM1;Q6P2C4;Q8N1P4;Q9H0E8
EntryName	ZRAB3_HUMAN
ProteinName	DNA annealing helicase and endonuclease ZRANB3 (Annealing helicase 2) (AH2) (Zinc finger Ran-binding domain-containing protein 3) [Includes: DNA annealing helicase ZRANB3 (EC 3.6.4.-); Endonuclease ZRANB3 (EC 3.1.-.-)]
GeneName	ZRANB3
Length	1077
Function	DNA annealing helicase and endonuclease required to maintain genome stability at stalled or collapsed replication forks by facilitating fork restart and limiting inappropriate recombination that could occur during template switching events (PubMed:21078962, PubMed:22704558, PubMed:22705370, PubMed:22759634, PubMed:26884333). Recruited to the sites of stalled DNA replication by polyubiquitinated PCNA and acts as a structure-specific endonuclease that cleaves the replication fork D-loop intermediate, generating an accessible 3'-OH group in the template of the leading strand, which is amenable to extension by DNA polymerase (PubMed:22759634). In addition to endonuclease activity, also catalyzes the fork regression via annealing helicase activity in order to prevent disintegration of the replication fork and the formation of double-strand breaks (PubMed:22704558, PubMed:22705370).
Subcellular Location	Nucleus; Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7732367
pNuLoCRegion	255...261;530...553;586...596;656...660
