UniprotID	Q9UPQ0-5
Accession	Q9UPQ0;A8MXC3;E9PHM7;Q503B5;Q5CZB1;Q5CZB6;Q5H9S8;Q68E07;Q6PJ44;Q7Z3G5;Q8N3S9;Q8N6M2
EntryName	LIMC1_HUMAN
ProteinName	LIM and calponin homology domains-containing protein 1
GeneName	LIMCH1 KIAA1102
Length	910
Function	Actin stress fibers-associated protein that activates non-muscle myosin IIa. Activates the non-muscle myosin IIa complex by promoting the phosphorylation of its regulatory subunit MRLC/MYL9. Through the activation of non-muscle myosin IIa, positively regulates actin stress fibers assembly and stabilizes focal adhesions. It therefore negatively regulates cell spreading and cell migration.
Subcellular Location	Cytoplasm; Cytoskeleton; Stress fiber
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6263346
pNuLoCRegion	25...41;78...79
