UniprotID	Q86VP3-2
Accession	Q86VP3;A2VDJ9;G8JLK3;O60342;Q6P191;Q96FL7
EntryName	PACS2_HUMAN
ProteinName	Phosphofurin acidic cluster sorting protein 2 (PACS-2) (PACS1-like protein)
GeneName	PACS2 KIAA0602 PACS1L
Length	904
Function	Multifunctional sorting protein that controls the endoplasmic reticulum (ER)-mitochondria communication, including the apposition of mitochondria with the ER and ER homeostasis. In addition, in response to apoptotic inducer, translocates BIB to mitochondria, which initiates a sequence of events including the formation of mitochondrial truncated BID, the release of cytochrome c, the activation of caspase-3 thereby causing cell death. May also be involved in ion channel trafficking, directing acidic cluster-containing ion channels to distinct subcellular compartments.
Subcellular Location	Endoplasmic reticulum; Mitochondrion
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.78882855
pNuLoCRegion	29...32;71...100
