UniprotID	Q9HAU0-4
Accession	Q9HAU0;A0JP03;B4DGS1;E9PHQ3;F5H0I0;Q6NSF8;Q86ST7;Q8N3K6;Q96DY9;Q9BVR4;Q9C0H7;Q9H924;Q9NVK8
EntryName	PKHA5_HUMAN
ProteinName	Pleckstrin homology domain-containing family A member 5 (PH domain-containing family A member 5) (Phosphoinositol 3-phosphate-binding protein 2) (PEPP-2)
GeneName	PLEKHA5 KIAA1686 PEPP2
Length	1179
Function	
Subcellular Location	Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8009132
pNuLoCRegion	214...233;261...275
