UniprotID	Q9ULU8-3
Accession	Q9ULU8;A6NF60;Q13339;Q6GQQ6;Q8N2Z5;Q8N3M7;Q8NFR0;Q96BC2
EntryName	CAPS1_HUMAN
ProteinName	Calcium-dependent secretion activator 1 (Calcium-dependent activator protein for secretion 1) (CAPS-1)
GeneName	CADPS CAPS CAPS1 KIAA1121
Length	1314
Function	Calcium-binding protein involved in exocytosis of vesicles filled with neurotransmitters and neuropeptides. Probably acts upstream of fusion in the biogenesis or maintenance of mature secretory vesicles. Regulates catecholamine loading of DCVs. May specifically mediate the Ca(2+)-dependent exocytosis of large dense-core vesicles (DCVs) and other dense-core vesicles by acting as a PtdIns(4,5)P2-binding protein that acts at prefusion step following ATP-dependent priming and participates in DCVs-membrane fusion. However, it may also participate in small clear synaptic vesicles (SVs) exocytosis and it is unclear whether its function is related to Ca(2+) triggering (By similarity).
Subcellular Location	Synapse; Cytoplasmic vesicle; Secretory vesicle; Neuronal dense core vesicle membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.35986897
pNuLoCRegion	
