UniprotID	Q5DID0-2
Accession	Q5DID0;C9JCE6;Q5DIC9;Q6LA40;Q6LA41;Q8N216
EntryName	UROL1_HUMAN
ProteinName	Uromodulin-like 1 (Olfactorin)
GeneName	UMODL1
Length	1446
Function	
Subcellular Location	Cell membrane; Cytoplasm; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.02600438
pNuLoCRegion	
