UniprotID	Q8N3X1-2
Accession	Q8N3X1;Q9H985;Q9NT81;Q9Y2L7
EntryName	FNBP4_HUMAN
ProteinName	Formin-binding protein 4 (Formin-binding protein 30)
GeneName	FNBP4 FBP30 KIAA1014
Length	1019
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8291179
pNuLoCRegion	23...36;791...807
