UniprotID	Q9P2S2-2
Accession	Q9P2S2;A7E2C1;Q9Y2D6
EntryName	NRX2A_HUMAN
ProteinName	Neurexin-2 (Neurexin II-alpha) (Neurexin-2-alpha)
GeneName	NRXN2 KIAA0921
Length	1642
Function	Neuronal cell surface protein that may be involved in cell recognition and cell adhesion. May mediate intracellular signaling.
Subcellular Location	Presynaptic cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.070270196
pNuLoCRegion	
