UniprotID	Q3V5L5-2
Accession	Q3V5L5;Q6P3S8;Q6P6B3;Q766X5;Q76D04;Q96LS2
EntryName	MGT5B_HUMAN
ProteinName	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.-) (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase B) (GlcNAc-T Vb) (GNT-Vb) (hGnTVb) (Mannoside acetylglucosaminyltransferase 5B) (N-acetylglucosaminyl-transferase Vb) (N-acetylglucosaminyltransferase IX) (GNT-IX)
GeneName	MGAT5B KIAA2008
Length	801
Function	Glycosyltransferase that acts on alpha-linked mannose of N-glycans and O-mannosyl glycans. Catalyzes the transfer of N-acetylglucosamine (GlcNAc) to the beta 1-6 linkage of the mannose residue of GlcNAc-beta1,2-Man-alpha on both the alpha1,3- and alpha1,6-linked mannose arms in the core structure of N-glycan. Also acts on the GlcNAc-beta1,2-Man-alpha1-Ser/Thr moiety, forming a 2,6-branched structure in brain O-mannosyl glycan. Plays an active role in modulating integrin and laminin-dependent adhesion and migration of neuronal cells via its activity in the O-mannosyl glycan pathway.
Subcellular Location	Golgi apparatus membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.09093029
pNuLoCRegion	
