UniprotID	Q9UI36-2
Accession	Q9UI36;A0A087WZP2;D0FY35;D0FY36;O75523;O75687;Q5VYY3;Q5VYY4;Q96SG3;Q96SG4;Q9H524;Q9UMH4
EntryName	DACH1_HUMAN
ProteinName	Dachshund homolog 1 (Dach1)
GeneName	DACH1 DACH
Length	706
Function	Transcription factor that is involved in regulation of organogenesis. Seems to be a regulator of SIX1, SIX6 and probably SIX5. Corepression of precursor cell proliferation in myoblasts by SIX1 is switched to coactivation through recruitment of EYA3 to the SIX1-DACH1 complex. Transcriptional activation also seems to involve association of CREBBP. Seems to act as a corepressor of SIX6 in regulating proliferation by directly repressing cyclin-dependent kinase inhibitors, including the p27Kip1 promoter (By similarity). Inhibits TGF-beta signaling through interaction with SMAD4 and NCOR1. Binds to chromatin DNA via its DACHbox-N domain (By similarity).
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9023776
pNuLoCRegion	5...23;75...98
