UniprotID	Q6ZV29-5
Accession	Q6ZV29;B5MDD3;Q5T364;Q658X0;Q658Y3;Q6ZTS1;Q86YU8;Q8TAY5;Q96N75;Q9H7N5
EntryName	PLPL7_HUMAN
ProteinName	Patatin-like phospholipase domain-containing protein 7 (EC 3.1.1.-) (EC 3.1.1.5)
GeneName	PNPLA7 C9orf111
Length	1342
Function	Lysophospholipase which preferentially deacylates unsaturated lysophosphatidylcholine (C18:1), generating glycerophosphocholine. Also can deacylate, to a lesser extent, lysophosphatidylethanolamine (C18:1), lysophosphatidyl-L-serine (C18:1) and lysophosphatidic acid (C16:0).
Subcellular Location	Endoplasmic reticulum membrane; Lipid droplet
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.0276961
pNuLoCRegion	
