UniprotID	Q9Y5H1-2
Accession	Q9Y5H1;Q52LL6;Q9Y5D5
EntryName	PCDG2_HUMAN
ProteinName	Protocadherin gamma-A2 (PCDH-gamma-A2)
GeneName	PCDHGA2
Length	823
Function	Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.0079078
pNuLoCRegion	
