UniprotID	Q9Y6A1-2
Accession	Q9Y6A1;B3KQG0;B4DIF0;Q5JT01;Q5JT06;Q5JT08;Q8NC91;Q8TCA9;Q9NX32;Q9NX82;Q9UNT2
EntryName	POMT1_HUMAN
ProteinName	Protein O-mannosyl-transferase 1 (EC 2.4.1.109) (Dolichyl-phosphate-mannose--protein mannosyltransferase 1)
GeneName	POMT1
Length	725
Function	Transfers mannosyl residues to the hydroxyl group of serine or threonine residues. Coexpression of both POMT1 and POMT2 is necessary for enzyme activity, expression of either POMT1 or POMT2 alone is insufficient (PubMed:12369018, PubMed:14699049, PubMed:28512129). Essentially dedicated to O-mannosylation of alpha-DAG1 and few other proteins but not of cadherins and protocaherins (PubMed:28512129).
Subcellular Location	Endoplasmic reticulum membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.01358622
pNuLoCRegion	
