UniprotID	Q05BV3-5
Accession	Q05BV3;B9EK59;Q5H9N6;Q6UYC9;Q6ZRP3;Q6ZT03
EntryName	EMAL5_HUMAN
ProteinName	Echinoderm microtubule-associated protein-like 5 (EMAP-5)
GeneName	EML5
Length	1977
Function	May modify the assembly dynamics of microtubules, such that microtubules are slightly longer, but more dynamic.
Subcellular Location	Cytoplasm; Cytoskeleton
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.22234952
pNuLoCRegion	
