UniprotID	Q96PP8
Accession	Q96PP8;B2RCE1;Q86TM5
EntryName	GBP5_HUMAN
ProteinName	Guanylate-binding protein 5 (EC 3.6.5.-) (GBP-TA antigen) (GTP-binding protein 5) (GBP-5) (Guanine nucleotide-binding protein 5)
GeneName	GBP5 UNQ2427/PRO4987
Length	586
Function	Interferon (IFN)-inducible GTPase that plays important roles in innate immunity against a diverse range of bacterial, viral and protozoan pathogens (By similarity). Hydrolyzes GTP, but in contrast to other family members, does not produce GMP (PubMed:20180847). Following infection, recruited to the pathogen-containing vacuoles or vacuole-escaped bacteria and acts as a positive regulator of inflammasome assembly by promoting the release of inflammasome ligands from bacteria (By similarity). Acts by promoting lysis of pathogen-containing vacuoles, releasing pathogens into the cytosol (By similarity). Following pathogen release in the cytosol, promotes recruitment of proteins that mediate bacterial cytolysis: this liberates ligands that are detected by inflammasomes, such as lipopolysaccharide (LPS) that activates the non-canonical CASP4/CASP11 inflammasome or double-stranded DNA (dsDNA) that activates the AIM2 inflammasome (By similarity). As an activator of NLRP3 inflammasome assembly: promotes selective NLRP3 inflammasome assembly in response to microbial and soluble, but not crystalline, agents (PubMed:22461501). Independently of its GTPase activity, acts as an inhibitor of various viruses infectivity, such as HIV-1, Zika and influenza A viruses, by inhibiting FURIN-mediated maturation of viral envelope proteins (PubMed:26996307, PubMed:31091448).
Subcellular Location	Cytoplasmic vesicle membrane; Golgi apparatus membrane; Cytoplasm
Disorder	0.1881,0.1251,0.0765,0.0443,0.0734,0.1070,0.0581,0.0817,0.1162,0.1449,0.1007,0.1298,0.1028,0.1759,0.1643,0.2752,0.2399,0.1914,0.2129,0.1229,0.0605,0.0765,0.0967,0.0870,0.1501,0.1399,0.1528,0.1881,0.1229,0.0734,0.0443,0.0646,0.0341,0.0349,0.0320,0.0184,0.0104,0.0123,0.0202,0.0181,0.0306,0.0543,0.0300,0.0218,0.0300,0.0320,0.0306,0.0160,0.0194,0.0287,0.0433,0.0749,0.0909,0.1554,0.1229,0.1251,0.1399,0.1969,0.1942,0.1942,0.1399,0.1501,0.1476,0.2328,0.3286,0.3667,0.3566,0.2609,0.2541,0.1914,0.1137,0.0749,0.0443,0.0555,0.0555,0.1323,0.1424,0.1206,0.1671,0.1791,0.1731,0.2399,0.1501,0.1048,0.0605,0.0334,0.0364,0.0380,0.0799,0.1399,0.1449,0.2328,0.3149,0.3149,0.3053,0.3053,0.2399,0.2399,0.3529,0.3149,0.3149,0.3321,0.2328,0.3286,0.3087,0.2884,0.3460,0.2541,0.2193,0.1323,0.0817,0.0851,0.0835,0.0749,0.1162,0.0518,0.0349,0.0244,0.0244,0.0235,0.0168,0.0168,0.0153,0.0157,0.0157,0.0269,0.0543,0.0531,0.0494,0.0618,0.0618,0.0605,0.1007,0.1115,0.0765,0.0749,0.1528,0.1399,0.2193,0.2129,0.1399,0.1298,0.1184,0.1028,0.1671,0.1702,0.1611,0.1881,0.2258,0.2399,0.2399,0.3215,0.3392,0.3599,0.3566,0.4582,0.4292,0.4256,0.5098,0.4801,0.4652,0.4369,0.4051,0.4441,0.4831,0.3983,0.3182,0.2224,0.1942,0.1206,0.1791,0.1791,0.1028,0.0909,0.0483,0.0463,0.0227,0.0294,0.0168,0.0184,0.0214,0.0231,0.0269,0.0356,0.0300,0.0349,0.0646,0.1070,0.1184,0.0704,0.1275,0.1424,0.1298,0.1501,0.2224,0.3392,0.3286,0.4220,0.4051,0.4901,0.4901,0.4979,0.4864,0.4979,0.5901,0.6043,0.4256,0.4292,0.3286,0.4476,0.5342,0.4292,0.3215,0.2364,0.3286,0.3249,0.1852,0.1092,0.1251,0.1206,0.1206,0.1092,0.0592,0.0300,0.0269,0.0143,0.0143,0.0174,0.0194,0.0263,0.0223,0.0235,0.0372,0.0646,0.0690,0.0543,0.0605,0.0719,0.1476,0.1251,0.0817,0.1028,0.1162,0.2002,0.3249,0.3321,0.4582,0.4801,0.5992,0.4369,0.3983,0.4051,0.4051,0.3426,0.3529,0.4507,0.3667,0.2680,0.3426,0.2399,0.1554,0.1349,0.1092,0.1007,0.0909,0.0676,0.1137,0.1007,0.0835,0.0454,0.1092,0.1583,0.1528,0.0909,0.1162,0.0749,0.0734,0.1424,0.2193,0.2224,0.2328,0.3149,0.4441,0.3667,0.3019,0.2292,0.2645,0.1823,0.1323,0.1373,0.1823,0.0985,0.0967,0.0948,0.1501,0.1852,0.1759,0.1942,0.1137,0.0690,0.0749,0.1275,0.1092,0.0662,0.0646,0.0817,0.0780,0.0646,0.1092,0.1583,0.1611,0.1942,0.2680,0.2436,0.2164,0.1554,0.1501,0.2129,0.1583,0.1731,0.2258,0.2164,0.1349,0.1671,0.2364,0.3215,0.3215,0.4051,0.4409,0.4292,0.3631,0.3529,0.2645,0.2988,0.2988,0.3460,0.4149,0.3321,0.3460,0.3910,0.3983,0.3529,0.3599,0.3704,0.3631,0.3566,0.3529,0.3807,0.3983,0.3948,0.4149,0.4541,0.3599,0.4541,0.3529,0.2817,0.2364,0.2258,0.3149,0.3087,0.1942,0.2645,0.3494,0.2715,0.3599,0.3566,0.3566,0.2503,0.2575,0.2399,0.2503,0.1671,0.2034,0.2918,0.2034,0.1969,0.3087,0.3149,0.3149,0.3053,0.3182,0.4369,0.3566,0.2645,0.3215,0.3117,0.3215,0.2503,0.3631,0.3356,0.3392,0.3215,0.4119,0.3249,0.2436,0.3149,0.3667,0.2849,0.2436,0.2436,0.2503,0.1671,0.0948,0.1501,0.2541,0.1942,0.2064,0.2034,0.2541,0.1852,0.2002,0.2064,0.2064,0.1349,0.1373,0.2064,0.2002,0.2609,0.3286,0.4017,0.4256,0.4256,0.4409,0.4476,0.3740,0.3426,0.4051,0.3983,0.3983,0.4256,0.4186,0.4186,0.3948,0.3872,0.3872,0.3910,0.3872,0.4017,0.4017,0.3983,0.3872,0.3740,0.2918,0.3566,0.4256,0.5098,0.5176,0.4582,0.3872,0.3807,0.3667,0.3599,0.3019,0.3149,0.3215,0.3910,0.4725,0.4766,0.4051,0.3667,0.3910,0.3807,0.3117,0.3149,0.3149,0.3356,0.3426,0.3321,0.3740,0.3774,0.3774,0.3948,0.4725,0.5533,0.5577,0.5533,0.5533,0.5382,0.5493,0.6043,0.6043,0.5055,0.5176,0.5807,0.6806,0.6576,0.6661,0.6375,0.6136,0.6531,0.7120,0.7080,0.6948,0.6043,0.5707,0.5533,0.4801,0.4831,0.4864,0.4766,0.5139,0.5211,0.5951,0.5854,0.5951,0.5807,0.6183,0.6043,0.6227,0.6531,0.5577,0.6136,0.6136,0.6227,0.7120,0.6576,0.6806,0.7672,0.7505,0.7595,0.6755,0.6322,0.6183,0.6136,0.6576,0.5577,0.4940,0.4725,0.4766,0.4652,0.4582,0.5211,0.4831,0.4801,0.4801,0.4801,0.5419,0.5296,0.5296,0.5533,0.5382,0.6136,0.6136,0.6136,0.5382,0.5211,0.6375,0.7209,0.6322,0.6183,0.6043,0.5992,0.6269,0.6427,0.6576,0.5665,0.5017,0.5098,0.5296,0.4685,0.4582,0.4901,0.4901,0.4979,0.5017,0.5807,0.5055,0.5211,0.5382,0.6661,0.6948,0.7629,0.6906,0.5854,0.5211,0.4541,0.4979,0.5577,0.5342,0.5055,0.5758,0.5665,0.4979,0.4940,0.4801,0.4541
ExposeBuried	1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
SurfaceAccessbility	0.809,0.669,0.507,0.645,0.378,0.564,0.414,0.451,0.299,0.208,0.094,0.118,0.054,0.089,0.251,0.209,0.391,0.625,0.583,0.532,0.195,0.420,0.141,0.452,0.434,0.643,0.260,0.375,0.511,0.099,0.183,0.529,0.266,0.089,0.230,0.403,0.303,0.059,0.048,0.067,0.046,0.072,0.060,0.092,0.136,0.164,0.235,0.375,0.508,0.314,0.326,0.357,0.215,0.073,0.131,0.365,0.295,0.124,0.309,0.588,0.570,0.412,0.616,0.336,0.084,0.353,0.191,0.433,0.379,0.437,0.251,0.586,0.507,0.486,0.262,0.396,0.093,0.051,0.056,0.046,0.036,0.052,0.077,0.466,0.267,0.462,0.832,0.490,0.591,0.539,0.099,0.075,0.033,0.030,0.030,0.040,0.097,0.166,0.493,0.350,0.254,0.318,0.386,0.347,0.659,0.538,0.401,0.522,0.434,0.650,0.445,0.202,0.165,0.155,0.046,0.049,0.084,0.056,0.107,0.110,0.091,0.089,0.137,0.111,0.198,0.242,0.081,0.174,0.423,0.214,0.240,0.495,0.528,0.107,0.428,0.611,0.550,0.123,0.156,0.524,0.227,0.044,0.329,0.166,0.038,0.136,0.330,0.070,0.072,0.487,0.201,0.059,0.369,0.638,0.595,0.365,0.344,0.476,0.442,0.507,0.657,0.462,0.308,0.583,0.466,0.403,0.548,0.446,0.108,0.274,0.529,0.228,0.054,0.423,0.397,0.047,0.120,0.088,0.081,0.044,0.214,0.238,0.131,0.319,0.203,0.514,0.223,0.534,0.291,0.596,0.436,0.476,0.349,0.350,0.328,0.366,0.574,0.516,0.182,0.097,0.518,0.454,0.205,0.108,0.552,0.303,0.371,0.706,0.597,0.582,0.375,0.663,0.567,0.155,0.498,0.602,0.192,0.436,0.411,0.275,0.367,0.477,0.145,0.062,0.463,0.561,0.151,0.139,0.472,0.622,0.251,0.335,0.022,0.048,0.062,0.065,0.385,0.269,0.333,0.365,0.498,0.447,0.434,0.485,0.121,0.434,0.579,0.285,0.648,0.705,0.106,0.622,0.719,0.653,0.684,0.129,0.413,0.725,0.636,0.074,0.339,0.567,0.286,0.050,0.533,0.561,0.178,0.052,0.366,0.253,0.105,0.112,0.456,0.488,0.483,0.454,0.450,0.469,0.409,0.314,0.594,0.585,0.352,0.330,0.485,0.266,0.316,0.150,0.627,0.416,0.054,0.214,0.546,0.148,0.030,0.362,0.460,0.128,0.108,0.576,0.317,0.188,0.527,0.594,0.647,0.608,0.152,0.281,0.369,0.177,0.570,0.472,0.286,0.441,0.544,0.223,0.239,0.444,0.529,0.200,0.552,0.482,0.355,0.459,0.411,0.251,0.531,0.489,0.191,0.372,0.578,0.442,0.203,0.476,0.641,0.516,0.174,0.568,0.612,0.383,0.397,0.564,0.237,0.445,0.559,0.606,0.355,0.189,0.511,0.542,0.293,0.294,0.633,0.343,0.382,0.429,0.542,0.318,0.544,0.577,0.356,0.349,0.272,0.445,0.246,0.329,0.410,0.592,0.509,0.499,0.346,0.535,0.594,0.365,0.465,0.482,0.547,0.239,0.300,0.549,0.522,0.205,0.477,0.609,0.457,0.172,0.503,0.612,0.308,0.225,0.557,0.559,0.248,0.233,0.473,0.561,0.425,0.313,0.624,0.567,0.468,0.307,0.676,0.505,0.185,0.501,0.646,0.404,0.135,0.613,0.572,0.204,0.343,0.612,0.527,0.203,0.459,0.631,0.520,0.197,0.517,0.547,0.312,0.311,0.456,0.417,0.373,0.657,0.598,0.317,0.262,0.596,0.355,0.107,0.372,0.581,0.416,0.202,0.588,0.533,0.149,0.462,0.574,0.382,0.239,0.547,0.600,0.247,0.495,0.507,0.508,0.491,0.384,0.491,0.330,0.541,0.421,0.308,0.261,0.519,0.550,0.297,0.272,0.557,0.413,0.434,0.545,0.572,0.343,0.433,0.600,0.465,0.190,0.382,0.566,0.288,0.455,0.565,0.522,0.225,0.480,0.627,0.385,0.357,0.463,0.554,0.299,0.401,0.401,0.550,0.498,0.329,0.511,0.503,0.579,0.345,0.399,0.663,0.434,0.401,0.500,0.595,0.347,0.206,0.580,0.561,0.421,0.292,0.601,0.499,0.418,0.505,0.531,0.357,0.322,0.532,0.544,0.405,0.499,0.546,0.426,0.312,0.442,0.521,0.281,0.415,0.596,0.466,0.233,0.524,0.580,0.443,0.337,0.572,0.473,0.274,0.337,0.619,0.415,0.484,0.430,0.564,0.392,0.451,0.532,0.333,0.439,0.364,0.412,0.482,0.469,0.511,0.534,0.482,0.444,0.452,0.618,0.501,0.160,0.447,0.602,0.341,0.275,0.606,0.542,0.177,0.392,0.639,0.370,0.137,0.588,0.527,0.182,0.482,0.586,0.401,0.230,0.635,0.728,0.519,0.559,0.469,0.308,0.414,0.287,0.648
