UniprotID	Q9P1Q0-4
Accession	Q9P1Q0;Q5VIR5;Q86YF7;Q8N6G3;Q9NPV0;Q9NT07;Q9NUJ0
EntryName	VPS54_HUMAN
ProteinName	Vacuolar protein sorting-associated protein 54 (Hepatocellular carcinoma protein 8) (Tumor antigen HOM-HCC-8) (Tumor antigen SLP-8p)
GeneName	VPS54 HCC8
Length	965
Function	Acts as a component of the GARP complex that is involved in retrograde transport from early and late endosomes to the trans-Golgi network (TGN). The GARP complex is required for the maintenance of the cycling of mannose 6-phosphate receptors between the TGN and endosomes, this cycling is necessary for proper lysosomal sorting of acid hydrolases such as CTSD (PubMed:18367545). Within the GARP complex, required to tether the complex to the TGN. Not involved in endocytic recycling (PubMed:25799061).
Subcellular Location	Golgi apparatus; trans-Golgi network; Membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.46723825
pNuLoCRegion	93...103
