UniprotID	Q2TAC2-2
Accession	Q2TAC2;A6NP51;A8MQC7;Q8IWG2;Q8TER3
EntryName	CCD57_HUMAN
ProteinName	Coiled-coil domain-containing protein 57
GeneName	CCDC57
Length	751
Function	Pleiotropic regulator of centriole duplication, mitosis, and ciliogenesis. Critical interface between centrosome and microtubule-mediated cellular processes. Centriole duplication protein required for recruitment of CEP63, CEP152, and PLK4 to the centrosome. Independent of its centrosomal targeting, localizes to and interacts with microtubules and regulates microtubule nucleation, stability, and mitotic progression.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriolar satellite; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Cytoplasm; Cytoskeleton; Spindle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6683525
pNuLoCRegion	3...14;18...19;27...40;115...125
