UniprotID	Q9NYB5-3
Accession	Q9NYB5;B7Z251;B7Z3Q3;B7Z8P1;F5GZD6;Q5JPA4
EntryName	SO1C1_HUMAN
ProteinName	Solute carrier organic anion transporter family member 1C1 (Organic anion transporter 1C1) (OATP1C1) (Organic anion transporter F) (OATP-F) (Organic anion transporter polypeptide-related protein 5) (OAT-RP-5) (OATP-RP5) (Organic anion-transporting polypeptide 14) (OATP-14) (Solute carrier family 21 member 14) (Thyroxine transporter)
GeneName	SLCO1C1 OATP14 OATP1C1 OATPF SLC21A14
Length	730
Function	Mediates the Na(+)-independent high affinity transport of organic anions such as the thyroid hormones L-thyroxine (T4), L-thyroxine sulfate (T4S), and 3,3',5'-triiodo-L-thyronine (reverse T3, rT3) at the plasma membrane (PubMed:12351693, PubMed:18566113, PubMed:19129463). Regulates T4 levels in different brain regions by transporting T4, and also by serving as an export pump for T4S, which is a source of T4 after hydrolysis by local sulfatases (PubMed:18566113). Increases the access of these substrates to the intracellular sites where they are metabolized by the deiodinases (PubMed:18566113). Other potential substrates, such as triiodothyronine (T3), 17-beta-glucuronosyl estradiol (17beta-estradiol 17-O-(beta-D-glucuronate)), estrone-3-sulfate (E1S) and sulfobromophthalein (BSP) are transported with much lower efficiency (PubMed:12351693, PubMed:19129463). Transports T4 and E1S in a pH-insensitive manner (PubMed:19129463). Facilitates the transport of thyroid hormones across the blood-brain barrier and into glia and neuronal cells in the brain (PubMed:30296914).
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.10941363
pNuLoCRegion	4...13;15...18
