UniprotID	Q86UR5-3
Accession	Q86UR5;A7MBN6;B7Z2M0;B7Z2Q9;B7Z3S3;B7Z6S2;E7EX08;E9PCB7;E9PCZ1;E9PF48;E9PHF5;E9PHR1;O15048;Q5JY21;Q5JY25;Q5SZK1;Q8TDY9;Q8TDZ5;Q9HBA1;Q9HBA2;Q9HBA3;Q9HBA4;Q9HBA5;Q9HBA6
EntryName	RIMS1_HUMAN
ProteinName	Regulating synaptic membrane exocytosis protein 1 (Rab-3-interacting molecule 1) (RIM 1) (Rab-3-interacting protein 2)
GeneName	RIMS1 KIAA0340 RAB3IP2 RIM1 Nbla00761
Length	1481
Function	Rab effector involved in exocytosis (By similarity). May act as scaffold protein that regulates neurotransmitter release at the active zone. Essential for maintaining normal probability of neurotransmitter release and for regulating release during short-term synaptic plasticity (By similarity). Plays a role in dendrite formation by melanocytes (PubMed:23999003).
Subcellular Location	Cell membrane; Synapse; Presynaptic cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.86652154
pNuLoCRegion	9...20;45...60;65...85
