UniprotID	Q86YS7-5
Accession	Q86YS7;B4DJ03;B4DRN7;B7ZLL0;F5H2A1;F5H5R1;O60280;Q17RY7;Q7Z619;Q86SU3
EntryName	C2CD5_HUMAN
ProteinName	C2 domain-containing protein 5 (C2 domain-containing phosphoprotein of 138 kDa)
GeneName	C2CD5 CDP138 KIAA0528
Length	1054
Function	Required for insulin-stimulated glucose transport and glucose transporter SLC2A4/GLUT4 translocation from intracellular glucose storage vesicle (GSV) to the plasma membrane (PM) in adipocytes. Binds phospholipid membranes in a calcium-dependent manner and is necessary for the optimal membrane fusion between SLC2A4/GLUT4 GSV and the PM.
Subcellular Location	Cytoplasmic vesicle membrane; Cytoplasm; Cell cortex; Cell membrane; Cell projection; Ruffle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7240491
pNuLoCRegion	18...35;54...73;497...519
