UniprotID	Q86VH2-2
Accession	Q86VH2;B2RTR8;Q5T6W0;Q86VH0;Q86VH1;Q9UF54
EntryName	KIF27_HUMAN
ProteinName	Kinesin-like protein KIF27
GeneName	KIF27
Length	1335
Function	Plays an essential role in motile ciliogenesis.
Subcellular Location	Cytoplasm; Cytoskeleton; Cell projection; Cilium
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.089187525
pNuLoCRegion	
