UniprotID	Q9NZ52-2
Accession	Q9NZ52;B7Z7E2;B7Z7M9;J3KRN0;Q15017;Q6IS16;Q9UJY3
EntryName	GGA3_HUMAN
ProteinName	ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)
GeneName	GGA3 KIAA0154
Length	690
Function	Plays a role in protein sorting and trafficking between the trans-Golgi network (TGN) and endosomes. Mediates the ARF-dependent recruitment of clathrin to the TGN and binds ubiquitinated proteins and membrane cargo molecules with a cytosolic acidic cluster-dileucine (DXXLL) motif (PubMed:11301005). Mediates export of the GPCR receptor ADRA2B to the cell surface (PubMed:26811329). nvolved in BACE1 transport and sorting as well as regulation of BACE1 protein levels (PubMed:15615712, PubMed:17553422, PubMed:20484053). Regulates retrograde transport of BACE1 from endosomes to the trans-Golgi network via interaction through the VHS motif and dependent of BACE1 phosphorylation (PubMed:15615712). Modulates BACE1 protein levels independently of the interaction between VHS domain and DXXLL motif through recognition of ubiquitination (PubMed:20484053). Key player in a novel DXXLL-mediated endosomal sorting machinery to the recycling pathway that targets NTRK1 to the plasma membrane (By similarity).
Subcellular Location	Golgi apparatus; trans-Golgi network membrane; Endosome membrane; Early endosome membrane; Recycling endosome membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7857526
pNuLoCRegion	34...34;95...107
