UniprotID	Q9UBT7-2
Accession	Q9UBT7;B5BU47;O76084;Q53FQ2;Q5JTQ7;Q5JTQ8;Q9Y401
EntryName	CTNL1_HUMAN
ProteinName	Alpha-catulin (Alpha-catenin-related protein) (ACRP) (Catenin alpha-like protein 1)
GeneName	CTNNAL1
Length	718
Function	May modulate the Rho pathway signaling by providing a scaffold for the Lbc Rho guanine nucleotide exchange factor (ARHGEF1).
Subcellular Location	Cytoplasm; Cytoskeleton; Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.68561184
pNuLoCRegion	56...66;132...138;194...202
