UniprotID	Q6ZRS4-2
Accession	Q6ZRS4;A2RU17;B3KTI9;B4DHB0;B4E2R1;F5H3V5
EntryName	ITPI1_HUMAN
ProteinName	Protein ITPRID1 (Coiled-coil domain-containing protein 129) (ITPR-interacting domain-containing protein 1)
GeneName	ITPRID1 CCDC129
Length	896
Function	
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8282798
pNuLoCRegion	3...15;34...50
