UniprotID	Q9P2K1-2
Accession	Q9P2K1;A6ND97;B3FW08;D6RB72;E7EP21;E9PEV5;Q3SYP3;Q9H8A7
EntryName	C2D2A_HUMAN
ProteinName	Coiled-coil and C2 domain-containing protein 2A
GeneName	CC2D2A KIAA1345
Length	1512
Function	Component of the tectonic-like complex, a complex localized at the transition zone of primary cilia and acting as a barrier that prevents diffusion of transmembrane proteins between the cilia and plasma membranes. Required for ciliogenesis and sonic hedgehog/SHH signaling (By similarity).
Subcellular Location	Cytoplasm; Cytoplasm; Cytoskeleton; Cilium basal body
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.92809695
pNuLoCRegion	89...102;536...559;586...611;672...682;983...999
