UniprotID	Q8N2Q7-2
Accession	Q8N2Q7;D2X2H5;Q9UPT2
EntryName	NLGN1_HUMAN
ProteinName	Neuroligin-1
GeneName	NLGN1 KIAA1070
Length	823
Function	Cell surface protein involved in cell-cell-interactions via its interactions with neurexin family members. Plays a role in synapse function and synaptic signal transmission, and probably mediates its effects by recruiting and clustering other synaptic proteins. May promote the initial formation of synapses, but is not essential for this. In vitro, triggers the de novo formation of presynaptic structures. May be involved in specification of excitatory synapses. Required to maintain wakefulness quality and normal synchrony of cerebral cortex activity during wakefulness and sleep (By similarity). The protein is involved in nervous system development.
Subcellular Location	Cell membrane; Postsynaptic density; Synaptic cleft; Synaptic cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.2378034
pNuLoCRegion	87...102;146...163
