UniprotID	Q6ZWJ8-4
Accession	Q6ZWJ8;A0A087WT73;Q8NBE0
EntryName	KCP_HUMAN
ProteinName	Kielin/chordin-like protein (Cysteine-rich BMP regulator 2) (Cysteine-rich motor neuron 2 protein) (CRIM-2) (Kielin/chordin-like protein 1) (KCP-1)
GeneName	KCP CRIM2 KCP1
Length	814
Function	Enhances bone morphogenetic protein (BMP) signaling in a paracrine manner. In contrast, it inhibits both the activin-A and TGFB1-mediated signaling pathways (By similarity).
Subcellular Location	Secreted
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.305995
pNuLoCRegion	
