UniprotID	Q6NSI4-4
Accession	Q6NSI4;H7BY89;Q4G0L7;Q5JQS1;Q5JRF9;Q6PHY5;Q6PII9;Q6PJU8;Q9H7W5;Q9NWA6
EntryName	RADX_HUMAN
ProteinName	RPA-related protein RADX (RPA-related and RAD51-antagonist, X-chromosome)
GeneName	RADX CXorf57
Length	758
Function	Single-stranded DNA-binding protein recruited to replication forks to maintain genome stability (PubMed:28735897). Prevents fork collapse by antagonizing the accumulation of RAD51 at forks to ensure the proper balance of fork remodeling and protection without interfering with the capacity of cells to complete homologous recombination of double-strand breaks (PubMed:28735897).
Subcellular Location	Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.50063205
pNuLoCRegion	
