UniprotID	Q5T8P6-3
Accession	Q5T8P6;B4DZE0;Q2NKM2;Q2NKQ2;Q5CZH8;Q5T8P5;Q5T8P8;Q5U5P5;Q5W0G7;Q8N3H5;Q96K92;Q96SZ3;Q9H2F8;Q9H7F9;Q9P1G7
EntryName	RBM26_HUMAN
ProteinName	RNA-binding protein 26 (CTCL tumor antigen se70-2) (RNA-binding motif protein 26)
GeneName	RBM26 C13orf10 PRO1777
Length	980
Function	May be involved in the turnover of nuclear polyadenylated (pA+) RNA.
Subcellular Location	
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9419076
pNuLoCRegion	147...174;197...223;280...316;333...350;627...636;849...864;885...900;945...965
