UniprotID	Q9Y5B0-4
Accession	Q9Y5B0;A8MY97;Q7Z644;Q96BZ1;Q9Y6F5
EntryName	CTDP1_HUMAN
ProteinName	RNA polymerase II subunit A C-terminal domain phosphatase (EC 3.1.3.16) (TFIIF-associating CTD phosphatase)
GeneName	CTDP1 FCP1
Length	867
Function	Processively dephosphorylates 'Ser-2' and 'Ser-5' of the heptad repeats YSPTSPS in the C-terminal domain of the largest RNA polymerase II subunit. This promotes the activity of RNA polymerase II. Plays a role in the exit from mitosis by dephosphorylating crucial mitotic substrates (USP44, CDC20 and WEE1) that are required for M-phase-promoting factor (MPF)/CDK1 inactivation.
Subcellular Location	Nucleus; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Spindle pole; Midbody
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.50055754
pNuLoCRegion	350...355;456...464
