UniprotID	Q6P2H3-4
Accession	Q6P2H3;B4DRL1;D3DPK4;F8W7K4;Q5VY68;Q5VY70;Q9H6Q1;Q9H828;Q9UF52
EntryName	CEP85_HUMAN
ProteinName	Centrosomal protein of 85 kDa (Cep85) (Coiled-coil domain-containing protein 21)
GeneName	CEP85 CCDC21
Length	711
Function	Acts as a regulator of centriole duplication through a direct interaction with STIL, a key factor involved in the early steps of centriole formation. The CEP85-STIL protein complex acts as a modulator of PLK4-driven cytoskeletal rearrangements and directional cell motility (PubMed:29712910, PubMed:32107292). Acts as a negative regulator of NEK2 to maintain the centrosome integrity in interphase. Suppresses centrosome disjunction by inhibiting NEK2 kinase activity (PubMed:26220856).
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Spindle pole; Nucleus; Nucleolus; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Cytoplasm; Cell cortex
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9093034
pNuLoCRegion	2...37;199...209
