UniprotID	Q8TD57-2
Accession	Q8TD57;O00437;O15437;O43326;Q3C0H2;Q8WUP9;Q9UEM3;Q9UEM5;Q9UG35
EntryName	DYH3_HUMAN
ProteinName	Dynein axonemal heavy chain 3 (Axonemal beta dynein heavy chain 3) (HsADHC3) (Ciliary dynein heavy chain 3) (Dnahc3-b)
GeneName	DNAH3 DNAHC3B
Length	753
Function	Force generating protein of respiratory cilia. Produces force towards the minus ends of microtubules. Dynein has ATPase activity; the force-producing power stroke is thought to occur on release of ADP. Involved in sperm motility; implicated in sperm flagellar assembly (By similarity).
Subcellular Location	Cytoplasm; Cytoskeleton; Cilium axoneme
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8643797
pNuLoCRegion	3...33
