UniprotID	Q7Z4V0-3
Accession	Q7Z4V0;A2A3J4;A8K9L5;Q5T426;Q658Q4;Q6ZN65
EntryName	ZN438_HUMAN
ProteinName	Zinc finger protein 438
GeneName	ZNF438
Length	779
Function	Isoform 1 acts as a transcriptional repressor.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.95348495
pNuLoCRegion	8...10;329...349;476...490;513...538
