UniprotID	Q5TCQ9-1
Accession	Q5TCQ9;A0A024R0E9;A0A024R0H3;Q5TCQ8;Q5TCR0;Q9H2V6;Q9H5Y8;Q9HBC4;Q9HCD8
EntryName	MAGI3_HUMAN
ProteinName	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3 (Membrane-associated guanylate kinase inverted 3) (MAGI-3)
GeneName	MAGI3 KIAA1634
Length	1506
Function	Acts as a scaffolding protein at cell-cell junctions, thereby regulating various cellular and signaling processes. Cooperates with PTEN to modulate the kinase activity of AKT1. Its interaction with PTPRB and tyrosine phosphorylated proteins suggests that it may link receptor tyrosine phosphatase with its substrates at the plasma membrane. In polarized epithelial cells, involved in efficient trafficking of TGFA to the cell surface. Regulates the ability of LPAR2 to activate ERK and RhoA pathways. Regulates the JNK signaling cascade via its interaction with FZD4 and VANGL2.
Subcellular Location	Cell membrane; Cell junction; Tight junction; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.889977
pNuLoCRegion	21...41
