UniprotID	Q6XUX3-2
Accession	Q6XUX3;B7ZL64;O75060;Q17R94;Q5RKT0;Q6IN87;Q6P997;Q86Y03;Q9P1S5
EntryName	DUSTY_HUMAN
ProteinName	Dual serine/threonine and tyrosine protein kinase (EC 2.7.12.1) (Dusty protein kinase) (Dusty PK) (RIP-homologous kinase) (Receptor-interacting serine/threonine-protein kinase 5) (Sugen kinase 496) (SgK496)
GeneName	DSTYK KIAA0472 RIP5 RIPK5 SGK496 HDCMD38P
Length	884
Function	Acts as a positive regulator of ERK phosphorylation downstream of fibroblast growth factor-receptor activation (PubMed:23862974, PubMed:28157540). Involved in the regulation of both caspase-dependent apoptosis and caspase-independent cell death (PubMed:15178406). In the skin, it plays a predominant role in suppressing caspase-dependent apoptosis in response to UV stress in a range of dermal cell types (PubMed:28157540).
Subcellular Location	Cytoplasm; Cell membrane; Apical cell membrane; Basolateral cell membrane; Cell junction
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.66115785
pNuLoCRegion	8...24;96...97
