UniprotID	Q8N4C6-11
Accession	Q8N4C6;A6NDB8;B7WPA3;C9JSB6;C9JSG2;C9JXL2;Q5BKU3;Q6P0P6;Q9BWU6;Q9C012;Q9C013;Q9C014;Q9H5I6;Q9HAT7;Q9HBY5;Q9HCK7;Q9UH61
EntryName	NIN_HUMAN
ProteinName	Ninein (hNinein) (Glycogen synthase kinase 3 beta-interacting protein) (GSK3B-interacting protein)
GeneName	NIN KIAA1565
Length	1377
Function	Centrosomal protein required in the positioning and anchorage of the microtubule minus-end in epithelial cells (PubMed:15190203, PubMed:23386061). May also act as a centrosome maturation factor (PubMed:11956314). May play a role in microtubule nucleation, by recruiting the gamma-tubulin ring complex to the centrosome (PubMed:15190203). Overexpression does not perturb nucleation or elongation of microtubules but suppresses release of microtubules (PubMed:15190203). Required for centriole organization and microtubule anchoring at the mother centriole (PubMed:23386061).
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.71918863
pNuLoCRegion	39...61
