UniprotID	Q9BTC0-1
Accession	Q9BTC0;A8MY65;B9EH82;E1P5I1;O15043;Q3ZTL7;Q3ZTL8;Q4VXS1;Q4VXS2;Q4VXV8;Q4VXV9;Q96D72;Q9BQW0;Q9BW03;Q9H4G6;Q9H4G7;Q9NTU8;Q9NUM8;Q9UFB6
EntryName	DIDO1_HUMAN
ProteinName	Death-inducer obliterator 1 (DIO-1) (hDido1) (Death-associated transcription factor 1) (DATF-1)
GeneName	DIDO1 C20orf158 DATF1 KIAA0333
Length	1189
Function	Putative transcription factor, weakly pro-apoptotic when overexpressed (By similarity). Tumor suppressor. Required for early embryonic stem cell development.
Subcellular Location	Cytoplasm; Nucleus; Cytoplasm; Cytoskeleton; Spindle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9245958
pNuLoCRegion	50...71;87...104;171...176;200...208;472...478;873...884
