UniprotID	Q9BX66-12
Accession	Q9BX66;A0AED4;A6NEK3;A6NID8;A6NJS4;A7MD40;D3DR42;O43857;Q5T923;Q5T924;Q5T927;Q5T928;Q5T929;Q5T930;Q5T931;Q5T932;Q7LBE5;Q8IVK0;Q8IVQ4;Q96KF3;Q96KF4;Q9BX64;Q9BX65;Q9P2Q0;Q9UFT2;Q9UHN7;Q9Y338
EntryName	SRBS1_HUMAN
ProteinName	Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein) (CAP)
GeneName	SORBS1 KIAA0894 KIAA1296 SH3D5
Length	1294
Function	Plays a role in tyrosine phosphorylation of CBL by linking CBL to the insulin receptor. Required for insulin-stimulated glucose transport. Involved in formation of actin stress fibers and focal adhesions (By similarity).
Subcellular Location	Cell junction; Adherens junction; Cell membrane; Cytoplasm; Cytoskeleton; Cell junction; Focal adhesion; Nucleus; Nucleus matrix
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.64922214
pNuLoCRegion	61...65;133...142;198...199
