UniprotID	Q9H3T2-3
Accession	Q9H3T2;D3DV15;Q5JR71;Q5JR72;Q5JR73;Q8WXT8;Q8WXT9;Q8WXU0;Q96JF8
EntryName	SEM6C_HUMAN
ProteinName	Semaphorin-6C (Semaphorin-Y) (Sema Y)
GeneName	SEMA6C KIAA1869 SEMAY
Length	962
Function	Shows growth cone collapsing activity on dorsal root ganglion (DRG) neurons in vitro. May be a stop signal for the DRG neurons in their target areas, and possibly also for other neurons. May also be involved in the maintenance and remodeling of neuronal connections.
Subcellular Location	Cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.012800922
pNuLoCRegion	
