UniprotID	Q96AC1-3
Accession	Q96AC1;B5TJY2;Q14840;Q86TY7
EntryName	FERM2_HUMAN
ProteinName	Fermitin family homolog 2 (Kindlin-2) (Mitogen-inducible gene 2 protein) (MIG-2) (Pleckstrin homology domain-containing family C member 1) (PH domain-containing family C member 1)
GeneName	FERMT2 KIND2 MIG2 PLEKHC1
Length	687
Function	Scaffolding protein that enhances integrin activation mediated by TLN1 and/or TLN2, but activates integrins only weakly by itself. Binds to membranes enriched in phosphoinositides. Enhances integrin-mediated cell adhesion onto the extracellular matrix and cell spreading; this requires both its ability to interact with integrins and with phospholipid membranes. Required for the assembly of focal adhesions. Participates in the connection between extracellular matrix adhesion sites and the actin cytoskeleton and also in the orchestration of actin assembly and cell shape modulation. Recruits FBLIM1 to focal adhesions. Plays a role in the TGFB1 and integrin signaling pathways. Stabilizes active CTNNB1 and plays a role in the regulation of transcription mediated by CTNNB1 and TCF7L2/TCF4 and in Wnt signaling.
Subcellular Location	Cytoplasm; Cytoplasm; Cell cortex; Cytoplasm; Cytoskeleton; Cytoplasm; Cytoskeleton; Stress fiber; Cell junction; Focal adhesion; Membrane; Cell projection; Lamellipodium membrane; Nucleus; Cytoplasm; Myofibril; Sarcomere; I band; Cell surface
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9149144
pNuLoCRegion	10...32;80...83;145...168
