UniprotID	Q9NSV4-6
Accession	Q9NSV4;A2A3B8;A2A3B9;A2A3C0;Q18P99;Q18PA0;Q18PA1;Q2KPB6;Q3ZK23;Q5JTP8;Q5T2S7;Q5XKF6;Q6MZF0;Q6NUP0;Q86VS4;Q8NAV4
EntryName	DIAP3_HUMAN
ProteinName	Protein diaphanous homolog 3 (Diaphanous-related formin-3) (DRF3) (MDia2)
GeneName	DIAPH3 DIAP3
Length	1123
Function	Actin nucleation and elongation factor required for the assembly of F-actin structures, such as actin cables and stress fibers. Required for cytokinesis, stress fiber formation and transcriptional activation of the serum response factor. Binds to GTP-bound form of Rho and to profilin: acts in a Rho-dependent manner to recruit profilin to the membrane, where it promotes actin polymerization. DFR proteins couple Rho and Src tyrosine kinase during signaling and the regulation of actin dynamics. Also acts as an actin nucleation and elongation factor in the nucleus by promoting nuclear actin polymerization inside the nucleus to drive serum-dependent SRF-MRTFA activity.
Subcellular Location	Cytoplasm; Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.4730091
pNuLoCRegion	46...68
