UniprotID	Q9UHW9-4
Accession	Q9UHW9;A0AV76;Q2VI00;Q7Z2E7;Q7Z4G5;Q8TDD4;Q9UFR2;Q9Y642;Q9Y665
EntryName	S12A6_HUMAN
ProteinName	Solute carrier family 12 member 6 (Electroneutral potassium-chloride cotransporter 3) (K-Cl cotransporter 3)
GeneName	SLC12A6 KCC3
Length	1141
Function	Mediates electroneutral potassium-chloride cotransport when activated by cell swelling (PubMed:10600773, PubMed:11551954, PubMed:16048901, PubMed:18566107, PubMed:19665974, PubMed:21628467, PubMed:27485015). May contribute to cell volume homeostasis in single cells (PubMed:16048901, PubMed:27485015).
Subcellular Location	Cell membrane; Basolateral cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.03168202
pNuLoCRegion	13...26;40...46;67...69
