UniprotID	Q8IYB3-2
Accession	Q8IYB3;O60585;Q5VVN4
EntryName	SRRM1_HUMAN
ProteinName	Serine/arginine repetitive matrix protein 1 (SR-related nuclear matrix protein of 160 kDa) (SRm160) (Ser/Arg-related nuclear matrix protein)
GeneName	SRRM1 SRM160
Length	902
Function	Part of pre- and post-splicing multiprotein mRNP complexes. As a component of the minor spliceosome, involved in the splicing of U12-type introns in pre-mRNAs (Probable). Involved in numerous pre-mRNA processing events. Promotes constitutive and exonic splicing enhancer (ESE)-dependent splicing activation by bridging together sequence-specific (SR family proteins, SFRS4, SFRS5 and TRA2B/SFRS10) and basal snRNP (SNRP70 and SNRPA1) factors of the spliceosome. Stimulates mRNA 3'-end cleavage independently of the formation of an exon junction complex. Binds both pre-mRNA and spliced mRNA 20-25 nt upstream of exon-exon junctions. Binds RNA and DNA with low sequence specificity and has similar preference for either double- or single-stranded nucleic acid substrates.
Subcellular Location	Nucleus matrix; Nucleus speckle
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9166242
pNuLoCRegion	63...64;172...205;219...228;275...301;331...366;375...406;475...479;520...540;542...572;597...625;657...662;671...692;788...789;815...826;858...860
