UniprotID	Q96RT1-5
Accession	Q96RT1;A0AVR1;B4E3F1;B7ZLV9;E7EQW9;E9PCR8;Q1RMD0;Q86W38;Q9NR18;Q9NW48;Q9ULJ5
EntryName	ERBIN_HUMAN
ProteinName	Erbin (Densin-180-like protein) (Erbb2-interacting protein) (Protein LAP2)
GeneName	ERBIN ERBB2IP KIAA1225 LAP2
Length	1356
Function	Acts as an adapter for the receptor ERBB2, in epithelia. By binding the unphosphorylated 'Tyr-1248' of receptor ERBB2, it may contribute to stabilize this unphosphorylated state (PubMed:16203728). Inhibits NOD2-dependent NF-kappa-B signaling and pro-inflammatory cytokine secretion (PubMed:16203728).
Subcellular Location	Cell junction; Hemidesmosome; Nucleus membrane; Basolateral cell membrane
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7579354
pNuLoCRegion	26...37;133...148;393...402
