UniprotID	Q6ZU64-4
Accession	Q6ZU64;A2BDD8;E9PCR1;E9PG25;E9PG72;Q6ZSR8;Q8N0T4;Q8NDJ3
EntryName	CFA65_HUMAN
ProteinName	Cilia- and flagella-associated protein 65 (Coiled-coil domain-containing protein 108)
GeneName	CFAP65 CCDC108
Length	730
Function	Plays a role in flagellar formation and sperm motility.
Subcellular Location	Cell projection; Cilium; Flagellum membrane; Cytoplasmic vesicle; Secretory vesicle; Acrosome membrane; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.48232526
pNuLoCRegion	59...65;186...197;221...234;379...388
