UniprotID	Q5JSH3-4
Accession	Q5JSH3;B4DSE9;F8W913;Q0JS52;Q0JTF3;Q5JSH2;Q6ZSC1;Q7Z365;Q7Z3P6;Q8NAU8;Q8NHU5;Q9NUV4
EntryName	WDR44_HUMAN
ProteinName	WD repeat-containing protein 44 (Rab11-binding protein) (Rab11BP) (Rabphilin-11)
GeneName	WDR44 RPH11
Length	824
Function	Downstream effector for Rab11 which regulates Rab11 intracellular membrane trafficking functions such as endocytic recycling, intracellular ciliogenesis and protein export (PubMed:31204173, PubMed:32344433). ATK1-mediated phosphorylation of WDR44 induces binding to Rab11 which activates endocytic recycling of transferrin receptor back to the plasma membrane (PubMed:31204173). When bound to Rab11, prevents the formation of the ciliogenic Rab11-Rabin8/RAB3IP-RAB11FIP3 complex, therefore inhibiting preciliary trafficking and ciliogenesis (PubMed:31204173). Participates in neo-synthesized protein export by connecting the endoplasmic reticulum (ER) with the endosomal tubule via direct interactions with the integral ER proteins VAPA or VAPB and the endosomal protein GRAFs (GRAF1/ARHGAP26 or GRAF2/ARHGAP10), which facilitates the transfer of proteins such as E-cadherin, MPP14 and CFTR into a Rab8-Rab10-Rab11-dependent export route (PubMed:32344433).
Subcellular Location	Cytoplasm; Cytosol; Cytoplasm; Perinuclear region; Endosome membrane; Golgi apparatus; trans-Golgi network
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.8408819
pNuLoCRegion	4...19;230...237;270...280
