UniprotID	Q8NDX5-7
Accession	Q8NDX5;A2RRP9;Q5HYF0;Q6NSG2;Q8NFT7;Q8NFZ1;Q8TBM2;Q9H971;Q9H9I4
EntryName	PHC3_HUMAN
ProteinName	Polyhomeotic-like protein 3 (Early development regulatory protein 3) (Homolog of polyhomeotic 3) (hPH3)
GeneName	PHC3 EDR3 PH3
Length	995
Function	Component of a Polycomb group (PcG) multiprotein PRC1-like complex, a complex class required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones; it mediates monoubiquitination of histone H2A 'Lys-119', rendering chromatin heritably changed in its expressibility.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.98249614
pNuLoCRegion	3...19;51...67;83...112;201...203;744...751;778...820;846...858;876...888
