UniprotID	Q9NVP4-5
Accession	Q9NVP4;A1L3Z8;B7ZLZ4;Q4F7X1;Q5QPD9;Q5QPE0;Q68DN8;Q6ZMX9;Q96NF0;Q9H1E0;Q9H442
EntryName	DZAN1_HUMAN
ProteinName	Double zinc ribbon and ankyrin repeat-containing protein 1
GeneName	DZANK1 C20orf12 C20orf84
Length	711
Function	Involved in vesicle transport in photoreceptor cells.
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Cytoplasm; Cytoskeleton; Cilium basal body
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7221731
pNuLoCRegion	18...38
