UniprotID	Q96P44-3
Accession	Q96P44;A6NIX5;B2R8J9;Q49A51;Q71RF4;Q8WXV8;Q9H0V3
EntryName	COLA1_HUMAN
ProteinName	Collagen alpha-1(XXI) chain
GeneName	COL21A1 COL1AL FP633
Length	954
Function	
Subcellular Location	Secreted; Extracellular space; Extracellular matrix; Cytoplasm
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.009250464
pNuLoCRegion	
