UniprotID	Q8NFZ0-2
Accession	Q8NFZ0;Q5JVB0;Q5JVB1;Q7Z4Q6;Q7Z4R0;Q8N1P5;Q8N586;Q96E82;Q96K67;Q96SW7;Q9UFB2
EntryName	FBH1_HUMAN
ProteinName	F-box DNA helicase 1 (hFBH1) (EC 5.6.2.4) (DNA 3'-5' helicase 1) (F-box only protein 18)
GeneName	FBH1 FBX18 FBXO18
Length	1094
Function	3'-5' DNA helicase and substrate-recognition component of the SCF(FBH1) E3 ubiquitin ligase complex that plays a key role in response to stalled/damaged replication forks (PubMed:11956208, PubMed:23393192). Involved in genome maintenance by acting as an anti-recombinogenic helicase and preventing extensive strand exchange during homologous recombination: promotes RAD51 filament dissolution from stalled forks, thereby inhibiting homologous recombination and preventing excessive recombination (PubMed:17724085, PubMed:19736316). Also promotes cell death and DNA double-strand breakage in response to replication stress: together with MUS81, promotes the endonucleolytic DNA cleavage following prolonged replication stress via its helicase activity, possibly to eliminate cells with excessive replication stress (PubMed:23319600, PubMed:23361013). Plays a major role in remodeling of stalled DNA forks by catalyzing fork regression, in which the fork reverses and the two nascent DNA strands anneal (PubMed:25772361). In addition to the helicase activity, also acts as the substrate-recognition component of the SCF(FBH1) E3 ubiquitin ligase complex, a complex that mediates ubiquitination of RAD51, leading to regulate RAD51 subcellular location (PubMed:25585578).
Subcellular Location	Nucleus; Chromosome
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.6837303
pNuLoCRegion	38...72;175...180;210...223;268...268;282...303;317...340;361...373
