UniprotID	Q96T17-2
Accession	Q96T17;B7Z2J8;B7Z3S7;B9EGC7;C9JMA4;C9JYW0;Q5EBN1;Q5JPS7;Q6PIC7;Q8N792
EntryName	MA7D2_HUMAN
ProteinName	MAP7 domain-containing protein 2
GeneName	MAP7D2
Length	773
Function	Microtubule-stabilizing protein that plays a role in the control of cell motility and neurite outgrowth via direct binding to the microtubule (By similarity). Acts as a critical cofactor for kinesin transport. In the proximal axon, regulates kinesin-1 family members, KIF5A, KIF5B and KIF5C recruitment to microtubules and contributes to kinesin-1-mediated transport in the axons (By similarity).
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Midbody; Cytoplasm; Cytoskeleton; Cell projection; Neuron projection; Cell projection; Axon
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7613202
pNuLoCRegion	4...11;80...102;118...140
