UniprotID	Q9BVV6-2
Accession	Q9BVV6;B4DZB6;E7EWM8;J3KQH9;O60328;Q6NYC6;Q6UV20
EntryName	TALD3_HUMAN
ProteinName	Protein TALPID3
GeneName	KIAA0586 TALPID3
Length	1472
Function	Required for ciliogenesis and sonic hedgehog/SHH signaling. Required for the centrosomal recruitment of RAB8A and for the targeting of centriole satellite proteins to centrosomes such as of PCM1. May play a role in early ciliogenesis in the disappearance of centriolar satellites that preceeds ciliary vesicle formation (PubMed:24421332). Involved in regulation of cell intracellular organization. Involved in regulation of cell polarity (By similarity). Required for asymmetrical localization of CEP120 to daughter centrioles (By similarity).
Subcellular Location	Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Photoreceptor inner segment; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Cytoplasm; Cytoskeleton; Cilium basal body
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.7040283
pNuLoCRegion	19...33
