UniprotID	Q9BUJ2-3
Accession	Q9BUJ2;B3KMW7;O76022;Q6ZSZ0;Q7L8P4;Q8N6Z4;Q96G37;Q9HAL3;Q9UG75
EntryName	HNRL1_HUMAN
ProteinName	Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Adenovirus early region 1B-associated protein 5) (E1B-55 kDa-associated protein 5) (E1B-AP5)
GeneName	HNRNPUL1 E1BAP5 HNRPUL1
Length	752
Function	Acts as a basic transcriptional regulator. Represses basic transcription driven by several virus and cellular promoters. When associated with BRD7, activates transcription of glucocorticoid-responsive promoter in the absence of ligand-stimulation. Also plays a role in mRNA processing and transport. Binds avidly to poly(G) and poly(C) RNA homopolymers in vitro.
Subcellular Location	Nucleus
Disorder	
ExposeBuried	
SurfaceAccessbility	
SecondStructure	
Hydropathy	
Polar	
Charge	
pNuLoCProb	0.9749382
pNuLoCRegion	5...26;33...37;130...131;288...301;365...370;485...497;509...549;568...590;641...656
